659.864,35.1813,14.3271,-7.84374,-2.14184,-3.59688,-11.5989,3.90558,-5.46146,6.82216,-4.18543,-4.91599,-0.747654
689.375,11.5581,2.94232,22.209,10.0989,-1.90941,-5.10545,13.01,-8.41802,1.46271,-1.09079,2.38718,1.39287
676.932,34.1989,2.88817,2.12021,10.6569,4.66866,-6.14101,-8.08624,-6.19699,2.52839,1.68055,-2.41271,-0.0745948
667.114,26.4318,8.46775,3.49978,-2.50612,2.33527,-4.63402,1.89251,-2.39612,-1.28086,-5.05675,-1.64409,-0.503541
690.758,24.6347,-17.6077,-7.61336,8.55117,-3.29153,-4.31993,6.34879,8.34533,6.61202,-2.05479,1.0824,1.69619
655.769,45.8986,9.96629,-5.3352,-3.65134,1.62065,-1.21647,-0.931578,-1.12234,0.0610541,1.06478,0.824481,5.48645
652.415,17.6906,-2.10818,-0.00269449,1.20232,10.4395,-8.38784,6.8371,-0.111021,4.95566,-3.13799,2.08083,5.13231
651.684,19.1785,0.32576,3.45949,7.51703,-3.24691,0.224909,4.60068,2.61847,2.07312,3.33098,2.08833,1.76687
655.205,18.0743,6.08198,-5.12332,-0.708415,7.16873,-8.16688,10.9708,1.01816,5.24388,-6.22723,-2.41944,1.23132
663.052,37.673,3.23075,-4.93949,9.24161,7.29623,-4.93626,-10.3156,-7.1952,1.19415,0.619683,-2.47804,-2.55781
644.868,34.3771,15.8803,-5.11481,-3.06168,-2.34175,-11.4804,4.00106,-4.93946,3.95221,-4.85124,-1.96442,0.559387
621.665,44.0949,6.33817,-4.24653,2.58129,3.8851,2.60813,-0.524422,-3.39918,-6.34312,-3.77204,3.10806,2.3007
686.423,27.3774,-18.8355,-9.47198,10.1156,-1.16497,-5.56605,1.90279,7.477,7.45777,0.0512572,-0.144107,1.57314
611.844,23.8337,11.7164,11.2313,7.13078,6.51122,-4.86983,6.69789,3.55814,3.99025,6.06362,0.670511,5.68124
593.905,26.6445,5.81841,1.32265,-1.11887,3.75225,-2.66755,-2.43764,2.23303,1.61599,-2.86387,0.611427,-1.77563
676.96,38.1712,2.53846,-11.5641,1.04198,2.29117,-4.91912,-5.67318,-5.40876,1.9434,4.78738,1.79441,1.00905
620.127,25.9943,13.2656,5.12015,5.72513,10.4688,-5.99176,4.31577,-2.57638,4.08104,-0.340528,-1.74672,3.00727
